Latitude,Longitude,Altitude
62.472046,6.236213,37.70
62.472046,6.236215,37.70
62.472046,6.236220,37.70
62.472050,6.236222,37.70
62.472050,6.236223,37.60
62.472050,6.236225,37.60
62.472050,6.236232,37.60
62.472057,6.236235,37.60
62.472057,6.236237,37.60
62.472057,6.236240,37.60
62.472057,6.236240,37.60
62.472057,6.236238,37.50
62.472057,6.236240,37.50
62.472057,6.236243,37.50
62.472057,6.236245,37.50
62.472057,6.236248,37.50
62.472065,6.236250,37.50
62.472065,6.236252,37.50
62.472065,6.236253,37.50
62.472065,6.236255,37.50
62.472069,6.236257,37.40
62.472069,6.236258,37.40
62.472076,6.236260,37.40
62.472076,6.236260,37.40
62.472076,6.236261,37.40
62.472076,6.236265,37.40
62.472076,6.236267,37.40
62.472084,6.236268,37.40
62.472084,6.236270,37.40
62.472084,6.236271,37.40
62.472088,6.236273,37.40
62.472088,6.236277,37.40
62.472088,6.236279,37.40
62.472088,6.236280,37.40
62.472095,6.236285,37.40
62.472095,6.236286,37.40
62.472095,6.236290,37.40
62.472103,6.236291,37.40
62.472103,6.236293,37.40
62.472103,6.236296,37.40
62.472103,6.236299,37.40
62.472103,6.236300,37.40
62.472103,6.236301,37.40
62.472107,6.236303,37.40
62.472107,6.236306,37.40
62.472107,6.236308,37.40
62.472107,6.236310,37.40
62.472107,6.236311,37.40
62.472107,6.236313,37.40
62.472107,6.236315,37.40
62.472115,6.236316,37.40
62.472115,6.236320,37.40
62.472115,6.236321,37.40
62.472115,6.236321,37.40
62.472115,6.236321,37.40
62.472115,6.236321,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472115,6.236320,37.40
62.472107,6.236320,37.40
62.472107,6.236320,37.40
62.472107,6.236320,37.40
62.472107,6.236320,37.40
62.472107,6.236320,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.40
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236318,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236316,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236315,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472107,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
62.472103,6.236313,37.30
