Time (s),Latitude,Longitude,Altitude,Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
63.38538671,62.47195353,6.236236057,26.3473101,70.24091122,0.01275342614,NaN,0.02164314364,2.000029337,5.223512349,-1
64.38538337,62.47195353,6.236236427,26.34475195,70.23835308,0.02499179041,NaN,0.02181086243,2,5.646598034,-1
65.38538063,62.47195386,6.236239615,26.52034989,70.41395081,0.01937554901,NaN,0.0219424296,2,5.519441297,-1
66.38537717,62.47195409,6.236242125,26.63841469,70.53201546,0.02805976917,NaN,0.0220693767,2,5.643729972,-1
67.38537478,62.47195438,6.236244516,26.56284579,70.45644636,0.04577950515,NaN,0.02208966117,2,5.349264357,-1
68.38537157,62.47195441,6.236244128,26.6394597,70.53306023,0.01727073534,NaN,0.0221819418,2.000029207,5.335216606,-1
69.38536787,62.47195465,6.236245846,26.65020844,70.54380879,0.05298131298,NaN,0.0222635484,2,5.651243974,-1
70.38536632,62.47195477,6.236247414,26.64645738,70.54005767,0.02577112267,NaN,0.02233257911,2,5.682561919,-1
71.38536179,62.4719549,6.236248726,26.7001238,70.593724,0.04718220258,NaN,0.02240513416,2,5.599861511,-1
72.38535893,62.4719552,6.236249978,26.60257632,70.49617628,0.02332935541,NaN,0.0224204341,2,5.525118853,-1
73.38535547,62.47195509,6.236250155,26.66460465,70.5582047,0.0344861341,NaN,0.02249109444,2.000029325,5.903892309,-1
74.38535202,62.47195547,6.236251254,26.70916901,70.60276875,0.02006579012,NaN,0.02249610918,2,5.925168561,-1
75.38534963,62.47195543,6.236251209,26.66911001,70.56270979,0.01056814371,NaN,0.02251036321,2,6.105070432,-1
76.38534617,62.47195531,6.236251237,26.66495468,70.55855458,0.04086541073,NaN,0.02253036462,2,5.80196626,-1
77.38534307,62.47195531,6.236251626,26.79626192,70.68986181,0.01362107774,NaN,0.02256744592,2,5.514278326,-1
79.385337,62.47195506,6.236251153,26.47701,70.37061011,0.01036960772,NaN,0.02259496272,2,5.816883807,-1
80.3853339,62.47195529,6.23625136,26.35243996,70.24603987,0.01793999264,NaN,0.02261414513,2.000028896,5.724436812,-1
81.38533092,62.47195541,6.236251623,26.18825295,70.08185276,0.01198477893,NaN,0.0227080869,2,5.158804199,-1
82.38532794,62.47195581,6.236253239,26.0348523,69.9284518,0.1447421632,NaN,0.02272583697,2,5.561723006,-1
83.38532424,62.47195588,6.236252929,26.06965827,69.9632577,0.04494475904,NaN,0.02280553351,2.000028941,5.322226304,-1
84.38532162,62.47195636,6.236254079,26.19242943,70.08602846,0.009460771677,NaN,0.02281750061,2,5.19989278,-1
85.38531816,62.47195631,6.236253868,26.11744722,70.01104628,0.002729336757,NaN,0.02283677479,2,5.143693408,-1
86.38531578,62.4719564,6.236253545,26.10134171,69.99494069,0.01079901298,NaN,0.02285809615,2,5.295548246,-1
87.3853122,62.47195627,6.236253846,26.08286208,69.97646118,0.007191732403,NaN,0.02286813245,2,4.998125855,-1
88.38530886,62.47195618,6.236253768,26.14916272,70.0427619,0.01769666062,NaN,0.02291914688,2,5.252599516,-1
89.38530624,62.47195632,6.236254716,26.43550831,70.32910738,0.01523163855,NaN,0.02292906628,2,5.48822691,-1
