Latitude,Longitude,Altitude
62.471951,6.236115,40.00
62.471951,6.236110,40.00
62.471951,6.236112,40.00
62.471951,6.236110,40.00
62.471951,6.236110,40.00
62.471951,6.236110,40.00
62.471943,6.236108,39.90
62.471943,6.236112,39.70
62.471943,6.236112,39.50
62.471943,6.236106,39.40
62.471943,6.236103,39.30
62.471943,6.236105,39.20
62.471951,6.236100,38.80
62.471951,6.236098,38.70
62.471951,6.236096,38.40
62.471954,6.236096,38.20
62.471954,6.236093,38.10
62.471954,6.236092,37.70
62.471962,6.236092,37.80
62.471962,6.236092,37.90
62.471962,6.236088,37.90
62.471962,6.236082,37.70
62.471962,6.236082,37.90
62.471962,6.236080,37.90
62.471962,6.236078,37.90
62.471962,6.236076,37.90
62.471962,6.236075,37.70
62.471962,6.236075,37.50
62.471962,6.236075,37.30
62.471962,6.236075,37.10
62.471970,6.236075,37.00
62.471970,6.236075,36.90
62.471970,6.236075,36.90
62.471970,6.236078,37.00
62.471970,6.236082,37.00
62.471973,6.236088,37.20
62.471973,6.236090,37.20
62.471981,6.236095,37.20
62.471981,6.236098,37.10
62.471981,6.236103,37.20
62.471989,6.236105,37.20
62.471989,6.236102,37.20
62.471992,6.236102,37.30
62.471992,6.236102,37.30
62.471992,6.236103,37.30
62.471992,6.236103,37.40
62.471992,6.236105,37.40
62.471992,6.236105,37.40
62.471992,6.236106,37.40
62.472000,6.236106,37.40
62.472000,6.236108,37.40
62.472000,6.236106,37.40
62.472000,6.236106,37.40
62.472000,6.236106,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236108,37.40
62.472000,6.236106,37.40
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236108,37.50
62.472000,6.236106,37.50
62.472000,6.236106,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236108,37.50
62.472000,6.236110,37.90
62.472000,6.236113,38.10
62.472000,6.236118,38.30
62.472008,6.236130,38.40
62.472012,6.236138,38.50
62.472019,6.236148,38.60
62.472027,6.236160,38.70
62.472027,6.236168,38.80
62.472031,6.236172,38.90
62.472038,6.236175,39.00
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.10
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236176,39.00
62.472038,6.236178,39.00
62.472038,6.236178,39.00
62.472038,6.236178,39.00
62.472038,6.236178,39.00
62.472046,6.236178,39.00
62.472046,6.236180,39.00
62.472046,6.236180,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236182,39.00
62.472046,6.236183,39.00
62.472046,6.236183,39.00
62.472046,6.236185,39.00
62.472046,6.236185,39.00
62.472046,6.236185,39.00
62.472046,6.236187,39.00
62.472046,6.236187,39.00
62.472046,6.236187,39.00
62.472046,6.236188,39.00
62.472046,6.236188,39.00
62.472046,6.236190,39.00
62.472050,6.236190,39.00
62.472050,6.236190,39.00
62.472050,6.236190,39.00
62.472050,6.236192,39.00
62.472050,6.236192,39.00
62.472050,6.236193,39.00
62.472050,6.236195,39.00
62.472050,6.236197,39.00
62.472050,6.236197,39.00
62.472050,6.236198,39.00
62.472050,6.236202,39.00
62.472050,6.236203,39.00
62.472050,6.236205,39.00
62.472050,6.236207,39.00
62.472050,6.236210,39.00
62.472050,6.236212,39.00
62.472050,6.236213,39.00
62.472050,6.236215,39.00
62.472050,6.236217,39.00
62.472050,6.236222,39.00
62.472050,6.236225,39.00
62.472057,6.236227,39.00
62.472057,6.236230,39.00
62.472057,6.236232,39.00
